Validated Using,Source,Category,Impact,Resource Type,Recommendation,Recommendation Id,Subscription Id,Subscription Name,Resource Group,Resource Name,Resource Id,Param1,Param2,Param3,Param4,Param5,Learn
Azure Resource Graph,AZQR,Security,High,Microsoft.ApiManagement/service,APIM should have private endpoints enabled,apim-004,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,rg-mcp-dev,apim-mcp-dev-thines,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/rg-mcp-dev/providers/Microsoft.ApiManagement/service/apim-mcp-dev-thines,,,,,,https://learn.microsoft.com/azure/api-management/private-endpoint
Azure Resource Graph,APRL,HighAvailability,High,Microsoft.ApiManagement/service,Migrate API Management services to Premium SKU to support Availability Zones,baf3bfc0-32a2-4c0c-926d-c9bf0b49808e,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,rg-mcp-dev,apim-mcp-dev-thines,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/rg-mcp-dev/providers/Microsoft.ApiManagement/service/apim-mcp-dev-thines,SKU: BasicV2,,,,,https://learn.microsoft.com/azure/api-management/upgrade-and-scale#change-your-api-management-service-tier
Azure Resource Graph,APRL,Scalability,High,Microsoft.Web/serverFarms,Set minimum instance count to 2 for app service,855ca19a-6518-4f2e-9e5a-01796fbca9f8,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,plan-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/serverFarms/plan-wtunmw4mafbha,Instance count is less than 2,,,,,https://azure.github.io/AppService/2020/05/15/Robust-Apps-for-the-cloud.html
Azure Resource Graph,APRL,HighAvailability,High,Microsoft.Web/serverFarms,Migrate App Service to availability Zone Support,88cb90c2-3b99-814b-9820-821a63f600dd,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,plan-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/serverFarms/plan-wtunmw4mafbha,Premium0V3,Not Zone Redundant,,,,https://learn.microsoft.com/azure/reliability/migrate-app-service
Azure Resource Graph,AZQR,Security,Medium,Microsoft.Web/sites,App Service should have VNET Route all enabled for VNET integration,app-010,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,app-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/app-wtunmw4mafbha,VNET Route All is disabled,,,,,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration
Azure Resource Graph,AZQR,Security,Medium,Microsoft.Web/sites,App Service should have VNET Route all enabled for VNET integration,app-010,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,natt-mcp-7updxksg,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/natt-mcp-7updxksg,VNET Route All is disabled,,,,,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration
Azure Resource Graph,AZQR,Security,Medium,Microsoft.Web/sites,App Service should use VNET integration,app-009,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,app-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/app-wtunmw4mafbha,VNET integration not configured,,,,,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration
Azure Resource Graph,AZQR,Security,Medium,Microsoft.Web/sites,App Service should use VNET integration,app-009,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,natt-mcp-7updxksg,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/natt-mcp-7updxksg,VNET integration not configured,,,,,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration
Azure Resource Graph,APRL,OtherBestPractices,High,Microsoft.Web/sites,Enable Health check for App Services,fd049c28-ae6d-48f0-a641-cc3ba1a3fe1d,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,app-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/app-wtunmw4mafbha,Healthcheckpath = not set,,,,,https://learn.microsoft.com/azure/app-service/monitor-instances-health-check?tabs=dotnet#enable-health-check
Azure Resource Graph,AZQR,HighAvailability,Medium,Microsoft.Web/sites,App Service should avoid using Client Affinity,app-015,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,app-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/app-wtunmw4mafbha,Client Affinity is enabled,,,,,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-app-service/reliability#checklist
