Month,BaselineRecurringUSD,ModerateProjectedUSD,ModerateSavingsUSD,AggressiveProjectedUSD,AggressiveSavingsUSD
2026-07,474.25,397.53,76.72,344.53,129.72
2026-08,474.25,397.53,76.72,344.53,129.72
2026-09,474.25,397.53,76.72,344.53,129.72
2026-10,474.25,397.53,76.72,344.53,129.72
2026-11,474.25,397.53,76.72,344.53,129.72
2026-12,474.25,397.53,76.72,344.53,129.72
2027-01,474.25,397.53,76.72,344.53,129.72
2027-02,474.25,397.53,76.72,344.53,129.72
2027-03,474.25,397.53,76.72,344.53,129.72
2027-04,474.25,397.53,76.72,344.53,129.72
2027-05,474.25,397.53,76.72,344.53,129.72
2027-06,474.25,397.53,76.72,344.53,129.72
TOTAL_12M,5691.00,4770.36,920.64,4134.36,1556.64
