Implemented,Number of Impacted Resources,Azure Service / Well-Architected,Recommendation Source,Azure Service Category / Well-Architected Area,Azure Service / Well-Architected Topic,Category,Recommendation,Impact,Best Practices Guidance,Read More,Recommendation Id
N/A,0,Azure Service,APRL,Microsoft.MachineLearningServices,workspaces,DisasterRecovery,Ensure to create Machine Learning Compute resources in secondary region,High,"Create compute resources for training a Machine Learning model in selected regions. Ensure both regions have sufficient compute quota for dynamic scaling. Customers must configure HA across zones for attached compute resources like AKS, Azure Databricks, Container Instances.
",https://learn.microsoft.com/azure/machine-learning/how-to-high-availability-machine-learning?view=azureml-api-2,13794a63-8d95-47ce-acbd-5925ede5b208
N/A,0,Azure Service,AZQR,Microsoft.MachineLearningServices,workspaces,Security,Service should disable public network access,High,Service should disable public network access,https://learn.microsoft.com/azure/machine-learning/how-to-configure-private-link,hub-004
N/A,0,Azure Service,APRL,Microsoft.MachineLearningServices,workspaces,ServiceUpgradeAndRetirement,Choose SKUs with longer terms and avoid those nearing retirement,Medium,"When choosing SKUs, opt for those that support longer terms and steer clear of any SKUs that are nearing retirement. This ensures that you can continue to use the SKU for a longer period of time.
",https://learn.microsoft.com/azure/machine-learning/concept-compute-target?view=azureml-api-2#supported-vm-series-and-sizes,6e2af91f-477d-46a5-b8ce-6cd1b8176550
N/A,0,Azure Service,APRL,Microsoft.MachineLearningServices,workspaces,DisasterRecovery,Deploy Azure Machine learning workspace in secondary region,High,"If your primary workspace is unavailable, switch to the secondary workspace to continue work. Azure Machine Learning doesn't auto-submit jobs to the secondary workspace during an outage. Update your code configuration to point to the new workspace resource.
",https://learn.microsoft.com/azure/machine-learning/how-to-high-availability-machine-learning?view=azureml-api-2,675d249a-9486-45e3-8e89-863f5802782d
N/A,0,Azure Service,AZQR,Microsoft.MachineLearningServices,workspaces,Security,Service should have private enpoints enabled,High,Service should have private enpoints enabled,https://learn.microsoft.com/azure/machine-learning/how-to-configure-private-link,hub-005
N/A,0,Azure Service,APRL,Microsoft.MachineLearningServices,workspaces,DisasterRecovery,Plan for a multi-regional deployment of Azure Machine Learning and associated resources,High,"Ensure you have a recovery strategy defined. Check regional availability and paired regions. Machine Learning doesn't have auto failover. Therefore, you must design a strategy that encompasses the workspace and all its dependencies, such as Key Vault, Azure Storage, and Container Registry.
",https://learn.microsoft.com/azure/machine-learning/how-to-high-availability-machine-learning?view=azureml-api-2,a86ed26a-59d9-47bd-b440-6bc71b843978
N/A,0,Azure Service,APRL,Microsoft.MachineLearningServices,workspaces,DisasterRecovery,Ensure checkpoints are used for AI training models,High,"Checkpoint optimization for large model training is crucial for disaster recovery. It reduces training time, increases reliability, improves cost efficiency, enhances resource utilization, and supports scalability by saving model states periodically to resume training from the last saved point.
",https://learn.microsoft.com/azure/machine-learning/reference-checkpoint-performance-for-large-models?view=azureml-api-2&tabs=PYTORCH#why-checkpoint-optimization-for-large-model-training-matters,98f15850-f31e-4fb2-8874-74f5aabbcf91
N/A,0,Azure Service,AZQR,microsoft.machinelearningservices,workspaces,MonitoringAndAlerting,Service should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs#collection-and-routing,hub-006
N/A,0,Azure Service,APRL,Microsoft.MachineLearningServices,workspaces,DisasterRecovery,"Selecting regions for BCDR, ensure that both regions offer adequate compute quotas",High,"When selecting regions for BCDR, ensure that both regions offer adequate compute quotas to meet your requirements in the same SKU. This ensures that you can failover to the secondary region without any issues.
",https://learn.microsoft.com/azure/machine-learning/how-to-manage-quotas?view=azureml-api-2,6e4f0fd1-1853-4b94-9736-6d6d239d2694
N/A,0,Azure Service,APRL,Microsoft.MachineLearningServices,workspaces,ServiceUpgradeAndRetirement,Avoid NC and NC_Promo series Azure VMs for machine learning quotas; migrate to newer versions,High,"Avoid selecting NC and NC_Promo series Azure virtual machines for machine learning VM quotas and make sure to migrate to newer versions.
",https://learn.microsoft.com/azure/virtual-machines/n-series-migration,cf2569bb-1cf2-46ce-8885-d742dc6f4a4c
N/A,0,Azure Service,APRL,Microsoft.MachineLearningServices,workspaces,OtherBestPractices,Make Azure Machine Learning quota requests through the Azure Machine Learning Studio,High,"Requests for additional Azure Machine Learning quota should be made through the Azure Machine Learning Studio instead of the subscription level in the Azure portal.
",https://learn.microsoft.com/azure/machine-learning/how-to-manage-quotas?view=azureml-api-2,48ea6480-6263-40ba-8937-326d790e63f6
N/A,0,Azure Service,AZQR,Microsoft.DBforPostgreSQL,servers,Security,PostgreSQL should have private endpoints enabled,High,PostgreSQL should have private endpoints enabled,https://learn.microsoft.com/azure/postgresql/single-server/concepts-data-access-and-security-private-link,psql-004
N/A,0,Azure Service,AZQR,Microsoft.DBforPostgreSQL,servers,Security,PostgreSQL should enforce SSL,High,PostgreSQL should enforce SSL,https://learn.microsoft.com/azure/postgresql/single-server/concepts-ssl-connection-security,psql-008
N/A,0,Azure Service,AZQR,Microsoft.DBforPostgreSQL,servers,Security,PostgreSQL should enforce TLS >= 1.2,Low,PostgreSQL should enforce TLS >= 1.2,https://learn.microsoft.com/azure/postgresql/single-server/concepts-ssl-connection-security,psql-009
N/A,0,Azure Service,AZQR,microsoft.dbforpostgresql,servers,MonitoringAndAlerting,PostgreSQL should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/postgresql/single-server/concepts-server-logs#resource-logs,psql-001
N/A,0,Azure Service,APRL,Microsoft.Network,virtualNetworks,MonitoringAndAlerting,Enable Virtual Network Flow Logs,Medium,"Improves monitoring and security for Azure and Hybrid connectivity
",https://learn.microsoft.com/azure/network-watcher/vnet-flow-logs-overview,06b77be9-56a3-4d41-b362-8b295c5a283d
N/A,0,Azure Service,AOR,Microsoft.Network,virtualNetworks,Governance,Virtual Networks without subnets,Medium,"Virtual Networks without subnets.
",https://learn.microsoft.com/azure/virtual-network/virtual-networks-overview,3a4b5c6d-7e8f-9a0b-1c2d-3e4f5a6b7c8d
N/A,0,Azure Service,AZQR,Microsoft.Network,virtualNetworks,HighAvailability,Virtual Network should have at least two DNS servers assigned,High,Virtual Network should have at least two DNS servers assigned,https://learn.microsoft.com/azure/virtual-network/virtual-networks-name-resolution-for-vms-and-role-instances,vnet-009
N/A,0,Azure Service,AZQR,microsoft.network,virtualnetworks,MonitoringAndAlerting,Virtual Network should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/virtual-network/monitor-virtual-network#collection-and-routing,vnet-001
N/A,0,Azure Service,AZQR,Microsoft.App,containerApps,HighAvailability,ContainerApp should use Azure Files to persist container data,Low,"ContainerApps should use Azure Files for persistent storage to ensure data durability and availability across container restarts.
",https://learn.microsoft.com/en-us/azure/container-apps/storage-mounts?pivots=azure-cli,ca-010
N/A,0,Azure Service,AZQR,Microsoft.App,containerApps,HighAvailability,ContainerApp should avoid using session affinity,Low,"ContainerApps should avoid using sticky sessions (session affinity)
as it can impact load distribution and high availability. Design applications
to be stateless when possible.
",https://learn.microsoft.com/en-us/azure/container-apps/sticky-sessions?pivots=azure-portal,ca-011
N/A,0,Azure Service,AZQR,Microsoft.App,containerApps,Security,ContainerApp should not allow insecure ingress traffic,Low,"ContainerApps should not allow insecure HTTP traffic. All ingress traffic should use HTTPS to ensure data is encrypted in transit.
",https://learn.microsoft.com/en-us/azure/container-apps/ingress-how-to?pivots=azure-cli,ca-008
N/A,0,Azure Service,AZQR,Microsoft.App,containerApps,Security,ContainerApp should use Managed Identities,Low,"ContainerApps should use Managed Identities to authenticate with Azure services instead of storing credentials in code or configuration.
",https://learn.microsoft.com/en-us/azure/container-apps/managed-identity?tabs=portal%2Cdotnet,ca-009
N/A,0,Azure Service,AZQR,Microsoft.EventGrid,domains,Security,Event Grid Domain should have local authentication disabled,Medium,Event Grid Domain should have local authentication disabled,https://learn.microsoft.com/azure/event-grid/authenticate-with-microsoft-entra-id,evgd-008
N/A,0,Azure Service,AZQR,Microsoft.EventGrid,domains,Security,Event Grid Domain should have private endpoints enabled,High,Event Grid Domain should have private endpoints enabled,https://learn.microsoft.com/azure/event-grid/configure-private-endpoints,evgd-004
N/A,0,Azure Service,AZQR,microsoft.eventgrid,domains,MonitoringAndAlerting,Event Grid Domain should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/event-grid/diagnostic-logs,evgd-001
